SETTLEMENTDATE,start_date,end_date,TOTALDEMAND,Is_Workday,Is_Aus_Holiday,Min Temp (K),Max Temp (K),Max Wind Speed (m/s),Afternoon Humidity,Afternoon Pressure,Morning Temp,Afternoon Temp,causal_events
2019-01-01 00:00:00,2019-01-01 00:00:00,2019-01-01 00:29:59,7612.74,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 00:30:00,2019-01-01 00:30:00,2019-01-01 00:59:59,7457.58,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,"[{""text"": ""Sydney experienced hot, humid conditions (temperatures higher than 30°C) on New Year's Eve, increasing residential cooling/AC usage."", ""category"": ""Env_Thermal"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 6, ""publication_time"": ""2019-01-01 00:38:00"", ""justification"": ""Reported daytime temperatures above 30°C and steamy conditions in Sydney drive higher HVAC cooling demand across households and venues."", ""source"": ""https://www.news.com.au/technology/environment/natural-wonders/storm-warning-as-up-to-one-million-people-gather-at-sydney-harbour/news-story/6f04b40d139c3839e9450b7b10347bef""}, {""text"": ""Severe thunderstorms and a BOM severe thunderstorm warning affected the Sydney metropolitan area on New Year's Eve, producing lightning, heavy rain (8mm reported) and cancelling the aerial flyover."", ""category"": ""Env_Disaster"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 4, ""publication_time"": ""2019-01-01 00:38:00"", ""justification"": ""Thunderstorms with lightning and an official warning pose risk to transmission/distribution infrastructure and can lead to localized outages or demand disruptions."", ""source"": ""https://www.news.com.au/technology/environment/natural-wonders/storm-warning-as-up-to-one-million-people-gather-at-sydney-harbour/news-story/6f04b40d139c3839e9450b7b10347bef""}, {""text"": ""Sydney's New Year's Eve public event—fireworks over the Harbour with over one million people gathering—represents a major calendar event altering consumption patterns (transport, lighting, hospitality) in the city."", ""category"": ""Soc_Calendar"", ""scope"": ""Local_Point"", ""type"": ""Fact"", ""relevance_score"": 5, ""publication_time"": ""2019-01-01 00:38:00"", ""justification"": ""Large, scheduled public gatherings on a major holiday change temporal load profiles (increased lighting, public transport, local hospitality demand) in Sydney."", ""source"": ""https://www.news.com.au/technology/environment/natural-wonders/storm-warning-as-up-to-one-million-people-gather-at-sydney-harbour/news-story/6f04b40d139c3839e9450b7b10347bef""}]"
2019-01-01 01:00:00,2019-01-01 01:00:00,2019-01-01 01:29:59,7243.21,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 01:30:00,2019-01-01 01:30:00,2019-01-01 01:59:59,6918.55,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 02:00:00,2019-01-01 02:00:00,2019-01-01 02:29:59,6676.58,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 02:30:00,2019-01-01 02:30:00,2019-01-01 02:59:59,6513.24,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 03:00:00,2019-01-01 03:00:00,2019-01-01 03:29:59,6400.0,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 03:30:00,2019-01-01 03:30:00,2019-01-01 03:59:59,6317.4,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 04:00:00,2019-01-01 04:00:00,2019-01-01 04:29:59,6242.08,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
2019-01-01 04:30:00,2019-01-01 04:30:00,2019-01-01 04:59:59,6229.28,1,1,293.77,304.18,6.7,66.0,1011.0,294.13,299.58,[]
